age 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 0 0.0265701915663365 0.0268596438681752 0.0275648170583959 0.0279025910923383 0.0236921985256436 0.0249201341547158 0.0262929380641774 0.025246610960046 0.024338736584284 0.0241825487521657 0.0231324653055049 0.0216971994104022 0.0193496824128213 0.0208432993917857 0.0207704516472326 0.0169982091863898 0.0174047064130517 0.0175536031319707 0.0160171927665476 0.0162485155793482 0.0151824049455557 0.0132745121418068 0.013508427083769 0.012714913175614 0.0115419773345521 0.0120061098708595 0.00957941696955568 0.0113221925861412 0.0114561015951955 0.0124211023728356 0.00940256373642065 0.0107390433442052 0.00896544064938867 0.00942833390385838 0.00884743700809172 0.00809536912930399 0.00906954420575287 0.00944183098121643 0.0079178688854593 0.00726558494042394 0.0070713237773262 0.00642329942150409 0.00640068732212855 0.0053272017393086 0.00509784384377426 0.00446506435971675 0.00501304531109364 0.00558766208162943 0.00509750586320265 0.00453528891662766 0.00534661143195315 0.00409196799351767 0.00442615312936791 0.0039428855797573 0.00437385115709101 0.0041238252160866 0.00415372326262537
 1 0.00261380547182051 0.00272734511864947 0.00245138571386881 0.0023807897587011 0.00238300510505565 0.00214207086684451 0.00200134089840193 0.00158320985649623 0.00163760909072754 0.00176531067527983 0.00142571470893201 0.00151725881906689 0.00123447395344511 0.00138709159033434 0.00113250283125708 0.00127323656735421 0.000978323422213696 0.00127364675032778 0.00114427905878507 0.00107057488025251 0.00131654425939683 0.00112045864107041 0.000927799437398213 0.000871062073542526 0.00113243023802402 0.000788721285615696 0.00125471848583125 0.000968879995787478 0.00101941221125691 0.0010611956137248 0.00112013441612994 0.0011591286851544 0.00106461814652068 0.00108334754391068 0.000953966260744288 0.00115525319299146 0.00100726289561576 0.00120269535561889 0.000814433760772549 0.000703005347862111 0.000608663895796741 0.000436701087203748 0.000617831411744776 0.000729089602967824 0.000612522686025408 0.000552314543132314 0.000415047788141162 0.000655641341577835 0.000602705477923122 0.000466833595043076 0.000412345628105478 0.000546226987659316 0.000541402231780311 0.000538528854568359 0.000417243537466573 0.000486126692094832 0.000401463517002892
 2 0.00114681090999446 0.00105110270228949 0.00113484779102873 0.000855473572671508 0.0011119889971615 0.000814758773206076 0.000734535059159851 0.000779828437743696 0.000730023218794042 0.00049898705627576 0.000677533005536413 0.000700887175609126 0.000487034797796587 0.000506769597202632 0.00052559744322276 0.000460067817404195 0.000486070480219632 0.000419251255371657 0.000524383848977452 0.000472315070483941 0.000404791256508859 0.000504677613809475 0.000333216090634777 0.000313068659870468 0.000515325788963783 0.000467796466010334 0.000480103003917204 0.000339162692103869 0.000293929310000945 0.000259523989748802 0.000220448833825669 0.000423846968936479 0.000435028494366381 0.00035282519586987 0.000339026992531435 0.000502629137024436 0.000254911600298611 0.000281148138711463 0.000246495653459977 0.000232007026498517 0.00016685159384985 0.000139155845850112 0.000218237369512239 0.000358508604206501 0.000128413663213766 0.000225817742500028 9.15216620333825e-05 0.000274392335307434 0.000112115164697177 0.00015483300154833 0.000147174770039422 0.000224519579127843 0.000140130321198715 0.000178463429868829 0.000133168458099496 0.000206533984228314 0.00020399458487102
 3 0.00074704057004942 0.000841107202936229 0.000706869047732765 0.00075522696557755 0.000698873067179174 0.000683286804755676 0.000562948296110804 0.000515576354875171 0.000659393358110538 0.000486297553315435 0.000517799352750809 0.000578034682080925 0.000440880659116585 0.000335435395142895 0.000387583836068889 0.0004045341536387 0.000354903584526204 0.000322392871535396 0.000381544683651764 0.000300198881759165 0.000345172131892088 0.00021994336458362 0.000279090536970193 0.000202578268876611 0.000233847472985745 0.00028812512862729 0.000127370957298887 0.000109044119250649 0.000275552164144305 0.000147024847199177 0.000172883260578295 0.000286063219971614 0.000200033338889815 0.000259779620288788 0.00024785450940298 9.9089368701632e-05 0.000134409892568093 0.000181108565529607 0.000192600633831177 0.000180262856019141 6.58560879837335e-05 0.000149800266311585 0.000121855688049439 0.000127298186910109 0.000159235668789809 0.000149449704836833 0.000112468227725668 0.000113853720739594 0.000204533833304926 8.92150193485073e-05 0.000132097487946104 0.000125508571189507 0.000141849720353408 0.000178739883819076 0.000117903672699405 0.000150818188673554 0.000130587269606746
 4 0.0006959452034724 0.000651010502331192 0.000496443744331472 0.000515114803827112 0.000615006150061501 0.00040786202610317 0.000565699126092384 0.000814553353244638 0.000535183349851338 0.000639137164827483 0.000424649916586624 0.000337221296516702 0.000460502331293052 0.000274929205729525 0.000301866541447953 0.000385815412487 0.000451758091907674 0.000336791054829584 0.000431270721210433 0.000267829813284359 0.000225326723749437 0.000308233459648614 0.000200911407201761 0.000240916967040706 0.000275603571822291 0.000330813314262919 0.000349495800910745 0.00014858998715758 0.000174575291049743 0.000169613704787347 0.000251907675836806 0.000151050882568728 0.000285165889772416 0.000243368216110976 8.61354264241954e-05 0.000246085699344797 0.000137680090475488 0.000133589060964322 0.000162377202240805 0.00017427523287528 0.000113871130414979 9.83058623062555e-05 8.327504080477e-05 8.70951165768135e-05 7.27127301812365e-05 7.94754619511226e-05 0.000106445260524775 6.71854879346061e-05 6.79724937975099e-05 0.000158272567972415 6.6600805869751e-05 8.78030577414858e-05 0.00020802779251308 0.000120679425163671 9.85746111231591e-05 7.79377666932954e-05 7.4883228964833e-05
 5 0.000485697930579889 0.0005128017288744 0.000535454754073281 0.000304918720103672 0.000323892810532232 0.000376976647288744 0.000563539025077487 0.00042860343467207 0.000406976744186047 0.000277332065529605 0.000458651564400662 0.000402795400076531 0.000395073434274596 0.000421472087053144 0.000384168595132035 0.000367211363522558 0.000300137563049731 0.000200070024508578 0.000303812851283609 0.000324464633354964 0.000344698819406544 0.00016874472672729 0.00036143163068916 0.000200240288346015 0.000221827861579414 0.000312075485552741 0.00021393910515107 0.000102796052631579 0.000212510492705577 0.000109202494184967 0.000105988341282459 0.000167711368734408 0.000215275983811246 0.00010924186148132 0.000198072098243761 0.000149655791679138 0.000203483639915351 0.000176016741147825 0.000113996922083104 0.000125708231195395 0.000155432361017564 0.000177992087442658 0.000114711786636077 1.66611129623459e-05 0.000121854627429477 9.07572787337544e-05 7.92063523494584e-05 0.000127179269779026 8.91583452211127e-05 6.76490816637164e-05 9.00515545149598e-05 0.000110559541841259 6.55229275644036e-05 0.00014453850918852 0.000119738969047476 5.86842980379883e-05 9.68119814508244e-05
 6 0.000430495649510311 0.00052014251905022 0.000475937688773362 0.000458181401653271 0.000323427571249191 0.00055265464801616 0.000496258213073426 0.000504864172119847 0.000564312122981125 0.00038737918611633 0.000356104219835005 0.000298166277394027 0.000481652066588398 0.00025627630528422 0.000421609398056764 0.000327844965758415 0.000448196011055502 0.000249359976061442 0.00028401734176475 0.000220109546828306 0.000433373360178405 0.000440010330677329 0.00024304062517527 0.00016214755427439 0.000236292748539075 0.000258739384754706 0.000128441545335278 0.000175112607134866 0.000185236639807354 0.000127597133317738 8.73534100587452e-05 0.000148220297711055 0.000209314495028781 0.000128749839062701 8.693289866884e-05 0.000131105988266014 8.48617284212536e-05 0.000121381319414942 0.000194762827566731 0.000189078808047194 0.000124550727732109 0.000102947736865585 0.000161728554793634 6.55533522345499e-05 6.65773420660614e-05 5.21421743286695e-05 0.000162975571772631 0.000118304693738724 0.000105458533704547 0.000110916391224295 0.00022451476745883 6.732873253661e-05 6.59434864321277e-05 0.000108388159677437 6.14791892944238e-05 5.938947618482e-05 7.77627652439321e-05
 7 0.000456956344349245 0.000479985434924733 0.000398482302188188 0.000530397249250128 0.000362222137491898 0.000266387593949196 0.000419539079111721 0.000337197885570906 0.000504677976629527 0.000369660593207973 0.000386918292529575 0.000434233380704248 0.000416171224732461 0.000340684776400565 0.000393665915420878 0.000286445403506092 0.000470856687523203 0.000215338744409475 0.000316447790278391 0.000251321532391157 0.000390214108784907 0.000306789984209339 0.00024830009932004 0.000167808698084184 0.000143953503018525 0.000127212590411805 0.000203306503035736 0.00014691299078121 0.00015581177937052 0.00010306622004638 0.000148863322204028 8.73238514184668e-05 0.000105666916745036 0.000104433188867422 0.000106846739037525 8.63175839708247e-05 4.33421101106307e-05 6.32557747251009e-05 6.043574169764e-05 0.000155016228261396 5.61950342321417e-05 5.30199266557681e-05 3.42867918706016e-05 8.08198364206511e-05 4.91082755629036e-05 0.000116374759977058 0.000121359223300971 5.41408745555937e-05 5.893504375927e-05 2.09909843722121e-05 4.41818081404982e-05 8.94674450334385e-05 4.46882436403043e-05 6.54015107748989e-05 2.15021394628766e-05 0.000162685944951143 9.83593657788095e-05
 8 0.000269779177808282 0.000440665241305022 0.000231519761865388 0.000311558832692907 0.00023742774434511 0.00026693105552166 0.000133414652740718 0.000285785051536571 0.000198186592677005 0.000291044558921971 0.000272090333990885 0.00038604449162766 0.000354452813469207 0.000197915945098117 0.000340613103586456 0.00031370703684097 0.000304052449047461 0.000162636886045755 0.000215819574835438 0.000300578613831626 0.000268616373846838 0.000152626446771527 0.000180108785706567 0.000114352147438035 0.00027934521481647 8.99458525967368e-05 0.000145400350778346 9.23881410582138e-05 0.000183931724543849 0.00011696020429049 0.00010307153164296 6.37368941011504e-05 0.00010907385390648 0.000126472882106195 6.24115835899143e-05 6.37030588085405e-05 0.000235604056673485 0.000150795445977531 0.00014686598478888 0.000120238071381335 7.68122899663946e-05 1.85970393513353e-05 8.8281512085739e-05 8.56487032786324e-05 0.000129116600359913 0.000163410708303715 6.63680106188817e-05 0.000138245662542338 3.59492396735809e-05 5.87009480203105e-05 8.36732559355716e-05 4.40261955863739e-05 6.67423079490089e-05 6.65461442054945e-05 2.16274668829413e-05 4.26411956591263e-05 0.000121270919233568
 9 0.000427946490838775 0.000428343658530781 0.000260975231819405 0.000280903517903468 0.000328469677062444 0.000328734099770799 0.00026698705112802 0.000418935902806871 0.000304619748879095 0.000158458201697483 0.000174384809145514 9.695465430818e-05 0.0001540372192431 0.000236050868962261 0.000375612842005377 0.000279552715654952 0.000175662883408641 0.000284497719276617 0.000235338842675984 0.00013311369573537 0.000100290843445993 0.000150978846186107 0.00018621501062272 0.000215699315154674 0.000133189995528622 0.000167508864010721 0.000125952515901505 0.000145436035413675 7.39433039716797e-05 0.000184146801830419 7.79780296901348e-05 0.000102944204241301 2.12077832564551e-05 8.70918928334259e-05 0.000189008127349476 8.27266710787558e-05 6.32644453816955e-05 0.000149042402563529 0.000107248957003893 0.000125189087684523 5.95687224494659e-05 0.000171703296703297 7.43011052289403e-05 8.81740909251226e-05 6.83865893898207e-05 0.000128871169103137 4.89029439572262e-05 9.92752903802244e-05 5.16617874978474e-05 5.37205991637493e-05 9.74516396238367e-05 6.25677817635772e-05 8.75426770550643e-05 0.000132438636764966 6.6000066000066e-05 8.57724884743219e-05 4.2346414846653e-05
 10 0.000222275144875764 0.000332791886216869 0.000253605959740054 0.000325916027735454 0.000247575820094904 0.000190153505739179 0.000255838602390264 0.000342942061843885 0.000380622508112017 0.000266407870449658 0.000257196557522999 0.000231964741359313 0.000309543616630231 0.000288372808366656 0.000235844421296751 0.000177376600084747 0.000377741108173125 0.000233706289620519 0.000284816435807122 0.000217635750299249 0.000116544295156752 0.000300508359975625 0.000200858670817746 0.000169057420352823 0.000161579892280072 0.000209210989282692 0.000167426285926891 0.000162043913900667 0.000200136456675006 9.2485549132948e-05 0.000110500290063261 7.78998208304121e-05 0.00010282459152931 0.000211575283775349 2.16919739696312e-05 0.000125347316522865 0.000226116449971735 0.000125931367404764 0.000148361663346191 2.13308305158861e-05 0.000103423311614438 7.88939074179996e-05 0.000171508608779335 9.27781488903733e-05 8.80359186548112e-05 6.82337688922248e-05 6.42828445158698e-05 0.000129979853122766 0.000131969646981194 6.86141653944457e-05 8.92251686355687e-05 9.71269838186445e-05 4.14722654224987e-05 4.34239808934484e-05 0.000109460687194194 2.1813581135615e-05 4.25726662196537e-05
 11 0.000435905173859102 0.000206360670830919 0.000285067228354687 0.000427580527666044 0.000276712975396961 0.000297147385103011 0.000328429932066861 0.00027385755755573 0.00034264829056575 0.000247369322398341 0.000247047309559781 0.000197411929602906 0.000250720822364297 0.000173820675003621 0.00011521622244412 0.000117566376016459 0.000156887354879197 0.000178488204904459 0.000155905910782843 0.000247138892057336 0.000108937406381916 0.000232734043172165 0.000200023336055873 0.000150388503634389 0.000236566407570125 0.000143573729596827 7.60579181046367e-05 0.000111674654506538 7.20597375224061e-05 7.28285706482653e-05 0.000147913951058971 0.000275986421468064 0.000136080870917574 0.000143716508920689 0.000147674651646045 0.00012947218505891 0.00014540771284054 0.00012270942408377 8.36461350257735e-05 0.000168738992417292 8.45344266452513e-05 8.22114890555955e-05 9.84726885998168e-05 9.51900469286931e-05 9.25583117363939e-05 0.000158188912714873 0.000119066856039666 6.40671423651987e-05 8.09198973935701e-05 3.28890569885135e-05 0.000102581637886818 1.77958108661221e-05 9.66090232827746e-05 8.23062202925986e-05 4.30658584640562e-05 8.68592771136662e-05 2.16468958351372e-05
 12 0.000404701900259377 0.000385634284564569 0.000269717114344191 0.00022158209616663 0.000442971388794406 0.000227884983193482 0.000198157138610918 6.91126795849784e-05 0.000310241623476166 0.000209292591042277 0.000247152987699386 0.000303495893321193 0.000157649446748973 0.000192628121779499 0.000347346178709609 0.000172359311711815 0.000136610688810609 0.000273675362375502 0.000218212836866067 0.000214569252226156 0.000190170107160855 0.000163249018238543 0.000282085106736026 0.000183066361556064 0.000133592725876076 0.000321008303977969 0.000233263354327035 5.70450656018254e-05 0.00016754472513357 0.000126168182186855 0.000163837436854321 9.23889946229605e-05 9.18881170287058e-05 0.000116404272036784 0.000204762782316686 0.000105046430522291 8.58544123802063e-05 0.000124072044500507 0.000162969300657989 0.00014571190674438 0.000125499382961367 4.1992105484169e-05 8.20891693602175e-05 9.83438889107431e-05 0.000133000199500299 3.69375109658236e-05 0.000140238932080532 8.47522268647609e-05 7.97842633518965e-05 4.83613560524237e-05 3.27893041289931e-05 5.11613629387087e-05 7.08409708755059e-05 3.83578983707483e-05 8.16784930318036e-05 4.26839679016561e-05 8.62617396836351e-05
 13 0.000251894456222843 0.00031270118642509 0.000234651291420143 0.000206107112280813 0.000284641233445345 0.000189861401177141 0.000211660886696299 0.000297098339550391 0.000276262172801989 0.000346664720478762 0.000209079763929939 0.000246669955599408 0.00020831163420477 0.000157467915912133 0.000250161161517516 0.000230957994514748 0.000190641413034153 0.000408703437001285 0.000195449925729028 0.000357380401655863 0.000273120104565983 0.000322865526508209 0.000126736975512606 0.000198823626874327 0.000132995303603342 0.000166963026037884 0.000253393359404695 0.000125610106230261 9.51022349025202e-05 0.000148905082316591 0.000198246420300433 0.000163710777626194 0.000147681856360934 0.000110070536869044 9.6760459805705e-05 0.000102022077577588 0.000104511773251257 0.000106821629243489 0.00010301419535612 0.000101366419332603 8.26446280991736e-05 8.31730519311743e-05 8.38767850028308e-05 0.000225372889690215 0.000196251594544206 1.89548306385882e-05 0.000165727543917799 8.72844075134418e-05 5.06761036833081e-05 7.94994713285157e-05 8.03684087858745e-05 0.000130778787680638 5.09333537066748e-05 3.52066188443427e-05 0.00015236934328813 4.05092006521981e-05 8.46919330933729e-05
