age 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
0 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 1.98795300479097e-05 0 0.000108117848454816 3.41369746106251e-05 1.62527629697049e-05 0 0 1.6261220241967e-05 1.70718382955477e-05 1.81499732287895e-05 0 2.10914843132085e-05 0 0 0 2.128157653919e-05 0 0 0 0 0 0 0 0 0
1 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 4.07784608169965e-05 5.79385465149964e-05 0.000131613582521716 7.14911261639649e-05 0.000152411918612035 1.6152740312394e-05 0.00012534371597114 0.000110230144795169 8.11056319750844e-05 3.40666172700716e-05 5.43015910366174e-05 7.85831458797874e-05 8.40848416051796e-05 0 0.00015228647261019 6.46356702719007e-05 8.43721656225611e-05 0.000164409461764525 7.90928055206778e-05 0 0 0 0 0 0
2 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000190772948395917 0.000179910044977511 0.00017281271901612 0.000186716955766753 0.000106478318352425 0.000286284448860335 0.000177155050932077 0.000171866943737012 0.000203867204039707 0.000178126113288208 0.000289647652150208 0.000217214227531903 0.000215946680801358 0.00025160661306048 0.000214695936879395 0.000281342653710477 0.000492716366752356 0.000293805941175853 0.000143204926249463 3.93890754399267e-05 0 0 0 0 0
3 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000262593548951814 0.000309984604097996 0.000417964512822554 0.000266941234793883 0.000240943758166603 0.000300090909893291 0.000369022258751698 0.000336759729950769 0.000480374382099081 0.000405353788109103 0.000372545049605183 0.00039210003665283 0.000434314461766755 0.000274300045063579 0.000542825825982567 0.000533897128701242 0.000344311860467619 0.000170448492596144 0.000396912439026938 0.000346443855716324 0.000137069455051009 0 0 0 0
4 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.00048363872187476 0.000415226350264188 0.000349441920697239 0.000592914669697119 0.000491897874433608 0.000460634201168168 0.000316539171722501 0.000467629203443755 0.000667843343032963 0.000616247361690983 0.000514748319268745 0.000518718441251084 0.000528203511701412 0.000632351081320349 0.000605616605616606 0.000561015646103019 0.000594347332335679 0.000577632775311547 0.000360494088957218 0.000582823362890804 0.000445890209669737 0.000136068967528113 0.000244511232234731 0.000244511232234731 0.000244511232234731
5 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.00071437849071308 0.000617932398195637 0.000454034197030204 0.000775138454006752 0.000529661016949153 0.000508115737473536 0.00066078688705133 0.00070016979117436 0.000629024515402824 0.0006478270143865 0.000723717134388113 0.000936000936000936 0.000810300540470461 0.00085108555963131 0.000955462813567572 0.000778505464135226 0.00064115159098665 0.000823427570044127 0.000723804657895857 0.000422556041495003 0.000455760187276004 0.000563862457836178 0.000592285481602132 0.000592285481602132 0.000592285481602132
6 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.00071947774380244 0.000969922305182012 0.00100446886146529 0.000902314230930922 0.00091128166703793 0.00101355631572279 0.000861487751891527 0.00102263492846121 0.0010234793092382 0.00121716532065727 0.00091581598414691 0.00120065574275181 0.00119995636522308 0.00127851368737913 0.00107020911546367 0.00116771012045379 0.00067797923446459 0.000844220691643245 0.000778152833422716 0.000742374750774191 0.0008395336390635 0.000677235647221795 0.000608741969497679 0.000608741969497679 0.000608741969497679
7 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00119609694680516 0.00138089758342923 0.00130770236694128 0.00116084884526089 0.00132346503507182 0.00165026464609873 0.00145577359809003 0.00124920759219898 0.00121252703301874 0.0012409620903317 0.00144596526397082 0.00165595552576588 0.00141406844398675 0.00119804267832554 0.00143704839946716 0.00165997594728729 0.00109206462874278 0.00121544189994791 0.00123060515008255 0.00121602213998931 0.000992210095209947 0.000937753975034905 0.000747573135739493 0.000747573135739493 0.000747573135739493
8 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00199175456443754 0.00175883507853403 0.00159480094890656 0.00224047049880475 0.0018615944961554 0.00232814730086749 0.00140162588602779 0.00140906239444096 0.00180930314135642 0.00149150471261579 0.00185952014049708 0.00195336545169524 0.00209453766624408 0.00193279695661178 0.00192444982462675 0.00202810372301898 0.00175478558713607 0.00144435231497579 0.00142216072338013 0.00196096454943775 0.00106272140029173 0.00140277414289453 0.000929522291936394 0.000929522291936394 0.000929522291936394
9 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00281127945405382 0.00287593697414716 0.00269000723448915 0.00214096680510264 0.00232440325416456 0.00235327245665554 0.0022570179150797 0.0030060519190954 0.00231242594503688 0.00201727521135543 0.00263861714921649 0.00244193945021969 0.00262157556691572 0.00259313683118679 0.00232579490161276 0.00256802957875033 0.00230980222318464 0.00208438393007228 0.0019894311470314 0.00170555262779668 0.0017072997225638 0.00161235310533007 0.00142286433535818 0.00142286433535818 0.00142286433535818
