age 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
17 44523 46303 48237 47786 49695 57027 62260 66702 67074 66410 64627 63652 61277 58755 56010 56509 56914 54280 55365 56105 54887 54474 54644 52949 54442 55704 58897 63237 63409 63394 62613 58405 55777 56261 58854 58462 57517 58134 54955 52614 51812 50164 51878 52762 51310 51514 51201 52659 55088 56887 57660 61943 63729 67882 67953 66904 64082
18 43445 44775 46491 48567 47947 49865 57235 62517 66865 67255 66821 65282 64096 61551 59102 56970 57488 57078 54391 55446 56318 55133 54781 54908 53133 54682 55950 58992 63311 63447 63484 62713 58550 55961 56563 59258 58775 57711 58462 55311 53081 51942 50280 51995 52906 51417 51730 51464 52949 55386 57117 57850 62364 64281 68411 68513 67450
19 42135 43728 44949 46847 48713 48037 50175 57579 62696 67097 67767 67680 65882 64364 61924 60185 58074 57441 57103 54452 55731 56707 55522 55114 55167 53531 55026 56092 59100 63408 63641 63648 62993 58758 56330 57138 59628 58981 57902 58753 55836 53222 52032 50452 52011 53036 51581 51924 51653 53137 55563 57260 58240 62724 64643 68789 68877
20 41286 42356 43946 45204 46914 48747 48137 50530 57717 62966 67520 68438 68067 65990 64497 62736 60816 57728 57225 56989 54697 56022 57043 55881 55364 55544 53843 55118 56153 59177 63642 63911 63918 63258 59177 56983 57477 59773 59217 58263 59163 55964 53290 52152 50482 52080 53199 51788 52139 51846 53308 55710 57733 58644 63152 65092 69153
21 41414 41864 42870 44540 45508 47085 49156 48841 51151 58206 63892 68860 69309 68580 66717 66601 64979 61355 57849 57378 57432 55212 56650 57618 56374 55936 56077 54046 55202 56271 59504 63985 64306 64302 63836 60127 57420 57731 59969 59584 58684 59273 56046 53328 52187 50558 52292 53427 52029 52409 52116 53562 56425 58335 59088 63694 65572
22 43482 41992 42464 43532 44791 45622 47446 49801 49202 51644 59015 65055 69749 69579 69106 68582 68384 64999 61286 57810 57777 57932 55913 57222 58049 56979 56465 56262 54097 55325 56603 59896 64446 64722 64953 64901 60707 57736 57969 60361 60112 58808 59349 56091 53403 52339 50866 52569 53944 52501 52854 52637 54503 57323 59128 60203 64671
23 44269 44087 42513 42796 43779 44848 45954 47997 50123 49593 52584 60169 65910 69923 69887 70767 70215 68368 64742 61185 58197 58270 58606 56576 57707 58633 57441 56608 56336 54246 55652 57038 60334 64918 65359 66058 65457 61100 58072 58484 60915 60369 59020 59478 56249 53620 52734 51300 53130 54561 53141 53643 53887 55781 58441 60518 61600
24 45348 44819 44523 42941 42911 43793 45076 46451 48269 50434 50309 53874 61088 66008 70008 71066 72234 70044 67994 64528 61498 58615 58918 59211 57058 58112 59056 57586 56669 56420 54535 56029 57557 60883 65630 66502 66758 65868 61452 58595 59045 61214 60603 59220 59642 56529 54154 53292 51965 53777 55164 53936 54949 55288 56997 59998 62005
25 45259 45827 45215 44855 43004 42878 43910 45450 46679 48522 51041 51377 54637 61197 66069 70937 72163 72041 69550 67711 64759 61862 59125 59458 59581 57466 58380 59077 57533 56728 56703 54903 56467 58116 61550 66678 67284 67231 66228 61934 59212 59290 61412 60774 59454 59958 57028 54680 53855 52613 54451 55904 55071 56233 56507 58452 61517
26 47265 45589 46102 45484 44863 42909 43098 44169 45616 46903 49092 51953 52093 54621 61141 66856 71686 72048 71436 69237 67782 65064 62373 59558 59816 59916 57671 58383 59136 57498 56932 56975 55341 56923 58700 62512 67447 67731 67554 66666 62533 59440 59448 61530 60947 59699 60395 57583 55288 54324 53228 55213 57098 56220 57291 57899 59933
27 47201 47540 45816 46404 45451 44758 42928 43331 44277 45726 47348 49934 52558 52068 54528 61727 67538 71554 71503 70964 69233 67987 65414 62830 59854 60074 60046 57649 58375 59156 57675 57188 57244 55753 57453 59644 63142 67819 68078 67992 67252 62754 59618 59535 61687 61147 60091 60869 58066 55770 54824 53850 56200 58145 57286 58534 59093
28 48758 47496 47724 46061 46398 45324 44736 43099 43418 44373 46042 47968 50464 52529 51928 55224 62246 67333 71015 71088 70962 69392 68266 65717 63025 60050 60149 60004 57599 58295 59243 57880 57409 57532 56353 58287 60247 63540 68049 68472 68418 67383 62867 59776 59757 61921 61449 60499 61339 58540 56254 55348 54757 57236 59076 58288 59646
29 50928 48952 47654 47954 46069 46329 45186 44869 43109 43475 44680 46603 48406 50408 52455 52330 55658 62093 66776 70703 71084 71039 69529 68525 65829 63197 60086 60032 59908 57570 58404 59357 58036 57692 57974 57163 58784 60564 63817 68476 69020 68445 67423 62877 59948 59900 62287 61883 60942 61714 58916 56727 56183 55710 58162 60107 59035
30 51844 51142 49019 47828 47892 45975 46257 45280 44862 43165 43659 45176 47013 48343 50275 52889 52761 55423 61622 66303 70620 71131 71201 69763 68565 65856 63218 59925 59985 59861 57617 58507 59462 58267 58091 58592 57662 59048 60784 64182 68951 69066 68452 67473 63005 60083 60254 62701 62297 61327 61992 59376 57472 57016 56473 58993 60964
31 53597 51993 51164 49139 47781 47815 45913 46334 45297 44870 43367 44045 45493 46986 48239 50599 53233 52604 54861 61235 66212 70631 71174 71281 69761 68543 65740 63014 59782 59889 59792 57690 58609 59668 58620 58651 59030 57931 59221 61100 64618 68975 69007 68439 67548 63142 60359 60620 63041 62604 61571 62391 59954 58225 57777 57266 59638
32 54150 53730 52004 51287 49123 47665 47719 45919 46310 45327 45032 43667 44330 45446 46794 48529 50943 53000 52168 54405 61123 66224 70587 71246 71257 69704 68400 65526 62894 59645 59862 59795 57701 58761 59944 59194 59009 59210 58109 59485 61588 64624 68943 69015 68574 67572 63366 60721 60923 63342 62778 61828 63080 60706 58936 58502 57840
33 58676 54226 53772 52107 51267 49022 47504 47748 45901 46296 45445 45392 43896 44287 45368 47065 48779 50777 52596 51819 54215 61095 66251 70626 71188 71196 69545 68172 65330 62769 59591 59810 59829 57844 58924 60358 59473 59211 59295 58447 59911 61606 64595 68923 69056 68719 67716 63617 61052 61217 63495 63065 62324 63731 61243 59544 58996
